original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 11, ""sheet"": ""Unknown""}",SPIVY,"SPIVY PoisonIvy, CVE-2015-2545 Organisations in Hong Kong http://researchcenter.paloaltonetworks.com/2016/04/unit42-new-poison-ivy-rat-variant-targets-hong-kong-pro-democracy-activists/"
APT Groups and Operations.xlsx,"{""row"": 31, ""sheet"": ""China""}",SPIVY,SPIVY Hong Kong dissidents http://researchcenter.paloaltonetworks.com/2016/04/unit42-new-poison-ivy-rat-variant-targets-hong-kong-pro-democracy-activists/
