slug,name,status,source_count,processed_source_count,ingestion_error_count,ioc_count,ioc_observation_count,artifact_count,validation_errors,validation_warnings,ingest_seconds,render_seconds,validate_seconds
acidbox,AcidBox,complete,1,1,0,0,0,3,0,7,0,0.072,0.072
admin-338,admin@338,complete,1,1,0,0,0,25,0,45,0,0.06,0.07
agrius,Agrius,complete,2,2,0,84,84,20,0,160,0,0.076,0.077
ajax-security-team,Ajax Security Team,complete,1,1,0,1,1,26,0,50,0,0.067,0.073
akira,Akira,complete,1,1,0,18,20,180,0,397,0,0.076,0.081
anchor-panda,Anchor Panda,complete,1,1,0,0,0,17,0,34,0,0.057,0.077
andariel,Andariel,complete,1,1,0,6,6,159,0,312,0,0.263,0.079
andromeda-spider,Andromeda Spider,complete,1,1,0,0,0,6,0,13,0,0.234,0.066
anonymous,Anonymous,complete,8,8,0,492,528,1366,0,3327,0,0.317,0.142
antlion,Antlion,complete,1,1,0,0,0,4,0,8,0,0.058,0.074
aoqin-dragon,Aoqin Dragon,complete,1,1,0,0,0,5,0,10,0,0.058,0.075
applejeus,AppleJeus,complete,1,1,0,2,2,84,0,162,0,0.066,0.074
apt-11,APT 11,complete,1,1,0,0,0,3,0,7,0,0.058,0.071
apt-13,APT 13,complete,1,1,0,0,0,3,0,7,0,0.057,0.071
apt-14,APT 14,complete,1,1,0,0,0,9,0,19,0,0.054,0.068
apt-23,APT 23,complete,1,1,0,0,0,13,0,25,0,0.054,0.069
apt-341,APT-341,complete,1,1,0,0,0,1,0,3,0,0.057,0.072
apt-c-01,APT-C-01,complete,1,1,0,1,1,21,0,41,0,0.06,0.083
apt-c-27,APT-C-27,complete,2,2,0,14,15,23,0,59,0,0.062,0.07
apt-c-37,APT-C-37,complete,2,2,0,8,12,10,0,36,0,0.07,0.069
apt-c-44,APT-C-44,complete,1,1,0,0,0,2,0,6,0,0.057,0.07
apt1,APT1,complete,1,1,0,0,0,41,0,80,0,0.066,0.07
apt12,APT12,complete,1,1,0,0,0,25,0,50,0,0.058,0.068
apt16,APT16,complete,1,1,0,0,0,12,0,23,0,0.061,0.071
apt17,APT17,complete,1,1,0,1,1,28,0,54,0,0.06,0.07
apt18,APT18,complete,1,1,0,0,0,42,0,81,0,0.06,0.069
apt19,APT19,complete,1,1,0,1,1,35,0,62,0,0.07,0.084
apt22,APT22,complete,1,1,0,0,0,18,0,36,0,0.056,0.072
apt24,APT24,complete,1,1,0,0,0,1,0,3,0,0.055,0.072
apt25,APT25,complete,1,1,0,0,0,2,0,5,0,0.062,0.073
apt26,APT26,complete,1,1,0,0,0,23,0,45,0,0.089,0.075
apt28,APT28,complete,30,30,0,1180,1398,777,0,2763,0,1.668,0.211
apt288,APT288,complete,1,1,0,0,0,1,0,3,0,0.059,0.079
apt29,APT29,complete,20,20,0,997,1079,481,0,1726,0,1.528,0.803
apt292,APT292,complete,1,1,0,0,0,1,0,3,0,0.115,0.292
apt3,APT3,complete,1,1,0,0,0,0,0,3,0,0.105,0.072
apt30,APT30,complete,1,1,0,0,0,20,0,42,0,0.064,0.073
apt33,APT33,complete,1,1,0,6,11,91,0,189,0,0.168,0.087
apt34,APT34,complete,2,2,0,55,55,1,0,113,0,0.154,0.074
apt37,APT37,complete,18,18,0,363,482,363,0,1035,0,0.52,0.144
apt38,APT38,complete,1,1,0,14,18,148,0,310,0,0.083,0.077
apt39,APT39,complete,1,1,0,0,0,0,0,2,0,0.068,0.077
apt4,APT4,complete,1,1,0,0,0,22,0,44,0,0.057,0.072
apt41,APT41,complete,3,3,0,66,72,17,0,50,0,0.117,0.082
apt42,APT42,complete,1,1,0,11,13,63,0,125,0,0.067,0.072
apt43,APT43,complete,2,2,0,2,2,17,0,42,0,0.074,0.073
apt45,APT45,complete,1,1,0,0,0,22,0,41,0,0.056,0.068
apt5,APT5,complete,1,1,0,0,0,34,0,68,0,0.06,0.066
apt6,APT6,complete,1,1,0,0,0,33,0,66,0,0.052,0.065
apt69,apt69,complete,1,1,0,0,0,2,0,5,0,0.052,0.067
apt73,APT73,complete,1,1,0,0,0,2,0,5,0,0.051,0.066
aquatic-panda,Aquatic Panda,complete,1,1,0,0,0,8,0,16,0,0.064,0.07
arid-viper,Arid Viper,complete,2,2,0,140,148,4,0,160,0,0.178,0.083
avivore,AVIVORE,complete,1,1,0,0,0,9,0,18,0,0.11,0.072
axiom,Axiom,complete,1,1,0,2,2,32,0,65,0,0.064,0.071
backdoordiplomacy,BackdoorDiplomacy,complete,1,1,0,0,0,30,0,51,0,0.06,0.073
badmagic,BadMagic,complete,2,2,0,325,325,91,0,717,0,0.159,0.088
bamboo-spider,Bamboo Spider,complete,1,1,0,0,0,7,0,15,0,0.056,0.071
barium,BARIUM,complete,1,1,0,7,10,50,0,112,0,0.063,0.067
big-panda,Big Panda,complete,1,1,0,0,0,4,0,8,0,0.057,0.068
bitter,BITTER,complete,8,8,0,422,571,51,0,697,0,0.212,0.108
blackbyte,BlackByte,complete,1,1,0,6,6,494,0,982,0,0.139,0.089
blackgear,Blackgear,complete,1,1,0,0,0,20,0,41,0,0.11,0.074
blackoasis,BlackOasis,complete,1,1,0,0,0,27,0,51,0,0.06,0.071
blacktech,BlackTech,complete,2,2,0,1,1,11,0,26,0,0.063,0.07
blind-eagle,Blind Eagle,complete,3,3,0,102,106,68,0,312,0,0.082,0.081
blue-mockingbird,Blue Mockingbird,complete,1,1,0,0,0,8,0,17,0,0.057,0.07
blue-termite,Blue Termite,complete,1,1,0,2,4,29,0,59,0,0.055,0.067
bluebottle,Bluebottle,complete,1,1,0,0,0,2,0,4,0,0.054,0.071
bluehornet,BlueHornet,complete,1,1,0,0,0,12,0,25,0,0.064,0.065
bohrium,Bohrium,complete,1,1,0,0,0,18,0,36,0,0.064,0.069
boson-spider,Boson Spider,complete,1,1,0,1,1,6,0,12,0,0.054,0.066
buhtrap,Buhtrap,complete,1,1,0,3,3,0,0,7,0,0.054,0.067
callisto,Callisto Group,complete,4,4,0,79,98,1,0,101,0,0.167,0.075
calypso,Calypso,complete,1,1,0,1,1,55,0,115,0,0.089,0.082
candiru,Candiru,complete,3,3,0,133,153,2,0,158,0,0.081,0.074
carbanak,Carbanak,complete,1,1,0,0,0,0,0,4,0,0.062,0.102
carberb,Carberb,complete,1,1,0,0,0,1,0,2,0,0.053,0.068
careto,Careto,complete,2,2,0,8,8,84,0,180,0,0.084,0.081
cellebrite,Cellebrite,complete,2,2,0,119,134,24,0,177,0,0.084,0.077
charming-kitten,Charming Kitten,complete,7,7,0,109,160,7,0,179,0,0.104,0.09
chimera,Chimera,complete,1,1,0,2,2,28,0,44,0,0.067,0.07
chinaz,ChinaZ,complete,1,1,0,0,0,6,0,6,0,0.055,0.07
cinnamon-tempest,Cinnamon Tempest,complete,1,1,0,0,0,15,0,31,0,0.07,0.073
cl-sta-0043,CL-STA-0043,complete,1,1,0,0,0,3,0,6,0,0.059,0.069
cl-sta-0048,CL-STA-0048,complete,1,1,0,0,0,2,0,5,0,0.055,0.071
cleaver,Cleaver,complete,1,1,0,0,0,24,0,51,0,0.063,0.076
clever-kitten,Clever Kitten,complete,1,1,0,0,0,22,0,44,0,0.056,0.07
cobalt-group,Cobalt Group,complete,1,1,0,0,0,36,0,68,0,0.087,0.098
confucius,Confucius,complete,2,2,0,59,81,64,0,245,0,0.082,0.078
contagious-interview,Contagious Interview,complete,1,1,0,3,3,64,0,132,0,0.074,0.078
copykittens,CopyKittens,complete,1,1,0,16,16,29,0,83,0,0.086,0.099
corsair-jackal,Corsair Jackal,complete,1,1,0,0,0,6,0,13,0,0.058,0.071
costaricto,CostaRicto,complete,1,1,0,0,0,1,0,3,0,0.056,0.07
cotton-sandstorm,Cotton Sandstorm,complete,1,1,0,0,0,15,0,28,0,0.058,0.075
cuboid-sandstorm,Cuboid Sandstorm,complete,1,1,0,0,0,8,0,17,0,0.058,0.071
curious-gorge,Curious Gorge,complete,1,1,0,0,0,3,0,6,0,0.072,0.101
curious-jackal,Curious Jackal,complete,1,1,0,1,1,2,0,4,0,0.057,0.071
cyber-berkut,Cyber Berkut,complete,1,1,0,0,0,6,0,11,0,0.057,0.07
cyber-caliphate-army-cca,Cyber Caliphate Army (CCA),complete,1,1,0,2,3,11,0,29,0,0.056,0.069
cyber-fighters-of-izz-ad-din-al-qassam,Cyber fighters of Izz Ad-Din Al Qassam,complete,1,1,0,0,0,9,0,18,0,0.056,0.07
cyber-spetsnazs,Cyber Spetsnazs,complete,1,1,0,0,0,1,0,2,0,0.052,0.071
cytrox,Cytrox,complete,3,3,0,223,223,0,0,224,0,0.094,0.083
daggerfly,Daggerfly,complete,1,1,0,0,0,4,0,9,0,0.06,0.069
danti,Danti,complete,1,1,0,0,0,2,0,5,0,0.056,0.069
dark-caracal,Dark Caracal,complete,1,1,0,0,0,20,0,42,0,0.059,0.072
dark-pink,Dark PInk,complete,1,1,0,1,2,3,0,8,0,0.055,0.072
darkhotel,Darkhotel,complete,3,3,0,93,114,48,0,292,0,0.09,0.086
darkhydrus,DarkHydrus,complete,1,1,0,4,4,26,0,50,0,0.061,0.067
darkuniverse,DarkUniverse,complete,1,1,0,0,0,8,0,16,0,0.054,0.067
denim-tsunami,Denim Tsunami,complete,1,1,0,2,3,24,0,45,0,0.059,0.069
dev-0056,DEV-0056,complete,1,1,0,0,0,5,0,11,0,0.053,0.065
dev-0133,DEV-0133,complete,1,1,0,0,0,4,0,9,0,0.053,0.069
dev-0166,DEV-0166,complete,1,1,0,0,0,5,0,11,0,0.055,0.069
dev-0196,DEV-0196,complete,1,1,0,0,0,1,0,2,0,0.054,0.067
dev-0198,DEV-0198,complete,1,1,0,0,0,5,0,11,0,0.053,0.065
dev-0215,DEV-0215,complete,1,1,0,0,0,4,0,9,0,0.052,0.066
dev-0227,DEV-0227,complete,1,1,0,0,0,2,0,5,0,0.051,0.069
dev-0230,DEV-0230,complete,1,1,0,0,0,1,0,3,0,0.052,0.068
dev-0270,DEV-0270,complete,1,1,0,3,4,7,0,20,0,0.053,0.069
dev-0322,DEV-0322,complete,1,1,0,0,0,16,0,30,0,0.055,0.066
dev-0343,DEV-0343,complete,1,1,0,0,0,11,0,20,0,0.053,0.067
dev-0506,DEV-0506,complete,1,1,0,0,0,1,0,3,0,0.052,0.068
dev-0588,DEV-0588,complete,1,1,0,0,0,2,0,5,0,0.053,0.066
dev-0842,DEV-0842,complete,1,1,0,0,0,10,0,20,0,0.054,0.067
dev-0861,DEV-0861,complete,1,1,0,3,3,6,0,16,0,0.053,0.075
dev-0960,DEV-0960,complete,1,1,0,0,0,5,0,11,0,0.058,0.069
dev-1084,DEV-1084,complete,1,1,0,0,0,2,0,3,0,0.055,0.066
dextorous-spider,Dextorous Spider,complete,1,1,0,0,0,3,0,7,0,0.057,0.068
domestic-kitten,Domestic Kitten,complete,1,1,0,0,0,16,0,31,0,0.053,0.066
donot-team,Donot Team,complete,3,3,0,24,37,25,0,83,0,0.061,0.07
dprk-it-workers,DPRK IT Worker Schemes,complete,8,8,0,150,155,60,0,224,0,0.092,0.083
dragonfly,Dragonfly,complete,1,1,0,2,2,98,0,196,0,0.157,0.1
dragonok,DragonOK,complete,1,1,0,0,0,25,0,41,0,0.131,0.07
dragonspark,DragonSpark,complete,1,1,0,0,0,7,0,14,0,0.055,0.11
dungeon-spider,Dungeon Spider,complete,1,1,0,0,0,17,0,35,0,0.079,0.1
dust-storm,Dust Storm,complete,1,1,0,0,0,13,0,27,0,0.073,0.099
earth-berberoka,Earth Berberoka,complete,1,1,0,1,1,12,0,27,0,0.056,0.065
earth-lusca,Earth Lusca,complete,2,2,0,18,18,103,0,197,0,0.092,0.073
earth-yako,Earth Yako,complete,1,1,0,0,0,1,0,1,0,0.053,0.065
elderwood,Elderwood,complete,1,1,0,0,0,25,0,49,0,0.065,0.067
electric-panda,Electric Panda,complete,1,1,0,0,0,2,0,4,0,0.051,0.064
electric-powder,Electric Powder,complete,1,1,0,0,0,2,0,5,0,0.053,0.064
eloquent-panda,Eloquent Panda,complete,1,1,0,0,0,2,0,4,0,0.051,0.064
ember-bear,Ember Bear,complete,1,1,0,3,3,102,0,206,0,0.069,0.072
emennet-pasargad,Emennet Pasargad,complete,1,1,0,0,0,21,0,39,0,0.053,0.073
empiremonkey,EmpireMonkey,complete,1,1,0,1,2,7,0,18,0,0.052,0.072
equation-group,Equation Group,complete,2,2,0,327,328,16,0,525,0,0.167,0.091
evanescent-bat,Evanescent Bat,complete,1,1,0,0,0,1,0,3,0,0.052,0.065
evilnum,Evilnum,complete,1,1,0,2,2,43,0,83,0,0.056,0.067
evilpost,EvilPost,complete,1,1,0,0,0,5,0,6,0,0.053,0.068
exotic-lily,EXOTIC LILY,complete,1,1,0,0,0,3,0,7,0,0.053,0.065
extreme-jackal,Extreme Jackal,complete,1,1,0,1,1,15,0,29,0,0.058,0.073
ferocious-kitten,Ferocious Kitten,complete,1,1,0,0,0,8,0,12,0,0.055,0.07
fin10,FIN10,complete,1,1,0,0,0,27,0,55,0,0.066,0.085
fin1125,FIN1125,complete,1,1,0,0,0,1,0,3,0,0.054,0.069
fin13,FIN13,complete,1,1,0,0,0,6,0,13,0,0.063,0.07
fin4,FIN4,complete,1,1,0,0,0,15,0,31,0,0.065,0.077
fin5,FIN5,complete,1,1,0,0,0,15,0,31,0,0.061,0.068
fin6,FIN6,complete,1,1,0,1,1,48,0,87,0,0.087,0.07
fin7,FIN7,complete,1,1,0,1,1,123,0,239,0,0.085,0.074
fin8,FIN8,complete,1,1,0,0,0,38,0,66,0,0.06,0.066
fin9,FIN9,complete,1,1,0,0,0,6,0,13,0,0.052,0.064
fox-kitten,Fox Kitten,complete,1,1,0,5,5,77,0,155,0,0.065,0.068
foxy-panda,Foxy Panda,complete,1,1,0,0,0,5,0,10,0,0.052,0.066
frankenstein,Frankenstein,complete,1,1,0,0,0,1,0,3,0,0.05,0.064
fruityarmor,FruityArmor,complete,1,1,0,0,0,27,0,50,0,0.055,0.071
fullofdeep,FullofDeep,complete,1,1,0,0,0,2,0,4,0,0.051,0.068
gallium,GALLIUM,complete,1,1,0,0,0,28,0,48,0,0.079,0.071
gallmaker,Gallmaker,complete,1,1,0,0,0,15,0,31,0,0.057,0.068
gamaredon,Gamaredon,complete,10,10,0,1593,1639,532,0,2605,0,0.515,0.227
gcman,GCMAN,complete,1,1,0,0,0,15,0,31,0,0.099,0.066
gekko-jackal,Gekko Jackal,complete,1,1,0,1,1,2,0,4,0,0.056,0.07
gelsemium,Gelsemium,complete,1,1,0,2,2,16,0,28,0,0.056,0.064
ghost-jackal,Ghost Jackal,complete,1,1,0,0,0,5,0,11,0,0.052,0.065
ghostsec,GhostSec,complete,1,1,0,2,2,22,0,45,0,0.053,0.066
ghostwriter,Ghostwriter,complete,3,3,0,131,143,72,0,241,0,0.083,0.078
ghoul,Ghoul,complete,1,1,0,0,0,16,0,33,0,0.05,0.065
gibberish-panda,Gibberish Panda,complete,1,1,0,0,0,2,0,4,0,0.057,0.068
goblin-panda,Goblin Panda,complete,1,1,0,0,0,43,0,82,0,0.061,0.072
gold-lowell,Gold lowell,complete,1,1,0,0,0,22,0,44,0,0.055,0.069
gold-southfield,GOLD SOUTHFIELD,complete,1,1,0,1,1,29,0,61,0,0.058,0.068
golden-chickens,Golden Chickens,complete,1,1,0,0,0,12,0,24,0,0.056,0.07
gorgon-group,Gorgon Group,complete,1,1,0,2,2,30,0,57,0,0.066,0.066
gossipgirl,GOSSIPGIRL,complete,1,1,0,0,0,6,0,13,0,0.06,0.067
gravityrat,GravityRAT,complete,1,1,0,0,0,2,0,4,0,0.053,0.067
greenbug,Greenbug,complete,1,1,0,1,1,25,0,49,0,0.055,0.071
greyenergy-group,GreyEnergy Group,complete,1,1,0,0,0,2,0,3,0,0.054,0.068
group-27,Group 27,complete,1,1,0,0,0,18,0,34,0,0.059,0.093
group5,Group5,complete,1,1,0,0,0,22,0,42,0,0.055,0.07
gru-gtsst-main-center-for-special-technology,GRU GTsST (Main Center for Special Technology),complete,1,1,0,1,1,1,0,2,0,0.052,0.065
hafnium,HAFNIUM,complete,1,1,0,0,0,34,0,57,0,0.078,0.075
hammer-panda,Hammer Panda,complete,1,1,0,0,0,7,0,14,0,0.053,0.067
hellsing-apt,Hellsing APT,complete,1,1,0,0,0,1,0,4,0,0.052,0.066
hexane,HEXANE,complete,1,1,0,1,1,65,0,118,0,0.067,0.088
higaisa,Higaisa,complete,1,1,0,7,8,22,0,42,0,0.067,0.07
honeybee,Honeybee,complete,1,1,0,0,0,18,0,35,0,0.057,0.066
hound-spider,Hound Spider,complete,1,1,0,1,1,2,0,4,0,0.053,0.064
hurricane-panda,Hurricane Panda,complete,1,1,0,2,2,66,0,130,0,0.062,0.069
iamtheking,IamtheKing,complete,1,1,0,0,0,17,0,26,0,0.053,0.063
ice-fog,Ice Fog,complete,1,1,0,2,2,34,0,71,0,0.056,0.075
impersonating-panda,Impersonating Panda,complete,1,1,0,0,0,4,0,8,0,0.052,0.07
inc-ransom,INC Ransom,complete,1,1,0,0,0,25,0,50,0,0.064,0.07
inception,Inception,complete,1,1,0,1,1,69,0,136,0,0.059,0.069
indigozebra,IndigoZebra,complete,1,1,0,0,0,5,0,6,0,0.055,0.076
indrik-spider,Indrik Spider,complete,1,1,0,1,1,86,0,170,0,0.068,0.074
intellexa,Intellexa,complete,5,5,0,141,197,19,0,206,0,0.094,0.077
invisimole,InvisiMole,complete,1,1,0,1,1,38,0,70,0,0.054,0.066
ironhusky,IronHusky,complete,1,1,0,0,0,8,0,17,0,0.055,0.074
itaduke,ItaDuke,complete,1,1,0,0,0,6,0,13,0,0.05,0.066
judgement-panda,Judgement Panda,complete,1,1,0,0,0,4,0,8,0,0.061,0.069
karakurt,Karakurt,complete,1,1,0,0,0,16,0,32,0,0.056,0.071
ke3chang,Ke3chang,complete,1,1,0,2,2,108,0,218,0,0.1,0.073
keksec,Keksec,complete,1,1,0,1,2,24,0,52,0,0.057,0.071
kimsuky,Kimsuky,complete,25,25,0,971,1236,871,0,2432,0,0.433,0.187
konni,Konni,complete,7,7,0,173,256,289,0,850,0,0.169,0.092
lamberts,Lamberts,complete,2,2,0,34,34,23,0,108,0,0.062,0.069
lapsus,LAPSUS$,complete,1,1,0,0,0,72,0,140,0,0.064,0.083
lazarus,Lazarus Group,complete,28,28,0,1069,1255,1139,0,3479,0,0.626,0.193
lazyscripter,LazyScripter,complete,1,1,0,1,1,2,0,6,0,0.082,0.066
lead,LEAD,complete,1,1,0,1,1,23,0,47,0,0.055,0.079
leafminer,Leafminer,complete,1,1,0,0,0,22,0,44,0,0.058,0.073
leviathan,Leviathan,complete,1,1,0,2,3,89,0,173,0,0.092,0.077
lilac-typhoon,Lilac Typhoon,complete,1,1,0,0,0,2,0,5,0,0.059,0.075
london-blue,London Blue,complete,1,1,0,31,38,0,0,69,0,0.062,0.074
lotus-blossom,Lotus Blossom,complete,1,1,0,0,0,51,0,90,0,0.062,0.072
lucky-cat,Lucky Cat,complete,1,1,0,0,0,22,0,44,0,0.056,0.071
lunar-spider,Lunar Spider,complete,1,1,0,0,0,26,0,53,0,0.056,0.069
luoyu,LuoYu,complete,1,1,0,0,0,8,0,16,0,0.056,0.07
machete,Machete,complete,2,2,0,77,85,88,0,310,0,0.083,0.098
madi,Madi,complete,1,1,0,0,0,19,0,38,0,0.057,0.07
magecart,Magecart,complete,1,1,0,22,23,17,0,76,0,0.062,0.073
magnetic-spider,Magnetic Spider,complete,1,1,0,0,0,3,0,8,0,0.079,0.091
malkamak,MalKamak,complete,1,1,0,0,0,6,0,12,0,0.053,0.067
mana-team,Mana Team,complete,1,1,0,0,0,3,0,3,0,0.056,0.071
menupass,menuPass,complete,1,1,0,4,4,74,0,154,0,0.072,0.073
metador,Metador,complete,2,2,0,6,9,17,0,45,0,0.072,0.069
mimic-spider,Mimic Spider,complete,1,1,0,1,1,2,0,4,0,0.069,0.068
mirrorface,MirrorFace,complete,1,1,0,0,0,15,0,31,0,0.085,0.076
moafee,Moafee,complete,1,1,0,0,0,16,0,32,0,0.054,0.068
modifiedelephant,ModifiedElephant,complete,1,1,0,0,0,13,0,28,0,0.054,0.07
mofang,Mofang,complete,1,1,0,0,0,25,0,50,0,0.06,0.071
molerats,Molerats,complete,2,2,0,1,1,0,0,6,0,0.06,0.069
monty-spider,Monty Spider,complete,1,1,0,0,0,7,0,15,0,0.053,0.067
moonstone-sleet,Moonstone Sleet,complete,1,1,0,0,0,32,0,63,0,0.06,0.068
moses-staff,Moses Staff,complete,1,1,0,1,1,33,0,67,0,0.058,0.067
moustachedbouncer,MoustachedBouncer,complete,1,1,0,0,0,1,0,3,0,0.056,0.066
muddywater,MuddyWater,complete,7,7,0,239,279,46,0,369,0,0.126,0.104
mummy-spider,Mummy Spider,complete,1,1,0,1,1,47,0,90,0,0.059,0.07
mustang-panda,Mustang Panda,complete,2,2,0,4,4,137,0,271,0,0.095,0.079
mustard-tempest,Mustard Tempest,complete,1,1,0,10,10,23,0,53,0,0.063,0.07
naikon,Naikon,complete,1,1,0,0,0,30,0,60,0,0.065,0.074
nazar,Nazar,complete,3,3,0,14,15,14,0,50,0,0.059,0.067
nb65,NB65,complete,1,1,0,0,0,7,0,15,0,0.055,0.073
neodymium,NEODYMIUM,complete,1,1,0,0,0,19,0,36,0,0.054,0.074
nettraveler,NetTraveler,complete,1,1,0,0,0,20,0,40,0,0.056,0.082
night-dragon,Night Dragon,complete,1,1,0,0,0,21,0,41,0,0.06,0.074
nightshade-panda,Nightshade Panda,complete,1,1,0,0,0,19,0,38,0,0.062,0.071
nomad-panda,Nomad Panda,complete,1,1,0,1,1,9,0,20,0,0.059,0.075
nomadic-octopus,Nomadic Octopus,complete,2,2,0,31,42,96,0,220,0,0.075,0.075
noname,NoName,complete,1,1,0,1,1,3,0,8,0,0.055,0.066
nso-group,NSO Group,complete,9,9,0,48,67,31,0,95,0,0.079,0.08
oceanlotus,OceanLotus,complete,9,9,0,339,387,327,0,1036,0,0.249,0.124
oniondog,OnionDog,complete,1,1,0,1,2,10,0,17,0,0.052,0.066
orangeworm,Orangeworm,complete,1,1,0,0,0,29,0,55,0,0.057,0.07
overlord-spider,Overlord Spider,complete,1,1,0,0,0,3,0,7,0,0.054,0.07
pacha-group,Pacha Group,complete,1,1,0,0,0,16,0,33,0,0.056,0.07
pale-panda,Pale Panda,complete,1,1,0,0,0,3,0,6,0,0.056,0.067
passcv,PassCV,complete,1,1,0,1,1,28,0,59,0,0.054,0.071
patchwork,Patchwork,complete,1,1,0,0,0,0,0,7,0,0.065,0.065
peach-sandstorm,Peach Sandstorm,complete,1,1,0,6,11,87,0,181,0,0.065,0.066
pearl-sleet,Pearl Sleet,complete,1,1,0,0,0,4,0,9,0,0.052,0.068
phlox-tempest,Phlox Tempest,complete,1,1,0,0,0,6,0,13,0,0.051,0.064
pittytiger,PittyTiger,complete,1,1,0,0,0,21,0,42,0,0.051,0.064
pizzo-spider,Pizzo Spider,complete,1,1,0,1,1,2,0,4,0,0.052,0.065
platinum,PLATINUM,complete,2,2,0,9,9,3,0,19,0,0.056,0.064
play,Play,complete,1,1,0,2,3,259,0,510,0,0.064,0.071
poison-carp,Poison Carp,complete,1,1,0,0,0,14,0,22,0,0.053,0.068
poisonous-panda,Poisonous Panda,complete,1,1,0,0,0,4,0,8,0,0.051,0.064
polonium,POLONIUM,complete,1,1,0,1,1,47,0,93,0,0.053,0.066
poseidon,Poseidon,complete,1,1,0,1,1,22,0,47,0,0.059,0.066
poseidon-group,Poseidon Group,complete,1,1,0,0,0,15,0,31,0,0.053,0.065
predator-panda,Predator Panda,complete,1,1,0,0,0,5,0,10,0,0.053,0.065
predatory-sparrow,Predatory Sparrow,complete,1,1,0,0,0,16,0,32,0,0.058,0.07
prince-of-persia,Prince of Persia,complete,1,1,0,0,0,19,0,33,0,0.057,0.067
pumpkin-sandstorm,Pumpkin Sandstorm,complete,1,1,0,0,0,31,0,60,0,0.056,0.074
putter-panda,Putter Panda,complete,1,1,0,2,2,24,0,52,0,0.064,0.07
radio-panda,Radio Panda,complete,1,1,0,0,0,6,0,12,0,0.062,0.07
rancor,Rancor,complete,1,1,0,1,3,20,0,37,0,0.075,0.067
raspberry-typhoon,Raspberry Typhoon,complete,1,1,0,0,0,47,0,90,0,0.06,0.071
redalpha,RedAlpha,complete,1,1,0,0,0,8,0,15,0,0.056,0.068
redcurl,RedCurl,complete,1,1,0,0,0,2,0,4,0,0.059,0.069
redecho,RedEcho,complete,1,1,0,0,0,10,0,21,0,0.054,0.067
redfoxtrot,RedFoxtrot,complete,1,1,0,0,0,20,0,36,0,0.061,0.064
revil,Revil,complete,1,1,0,8,9,108,0,220,0,0.06,0.069
roaming-mantis,Roaming Mantis,complete,1,1,0,0,0,13,0,23,0,0.057,0.069
roaming-tiger,Roaming Tiger,complete,1,1,0,0,0,15,0,29,0,0.053,0.064
rocke,Rocke,complete,1,1,0,0,0,29,0,48,0,0.06,0.067
ruby-sleet,Ruby Sleet,complete,1,1,0,0,0,27,0,53,0,0.051,0.063
sabre-panda,Sabre Panda,complete,1,1,0,0,0,3,0,6,0,0.054,0.067
salt-typhoon,Salt Typhoon,complete,1,1,0,0,0,40,0,81,0,0.058,0.067
sandcat,Sandcat,complete,1,1,0,0,0,16,0,28,0,0.05,0.064
sandworm,Sandworm Team,complete,15,15,0,422,595,183,0,1085,0,0.269,0.132
sangria-tempest,Sangria Tempest,complete,1,1,0,1,1,123,0,239,0,0.108,0.072
scarab,Scarab,complete,1,1,0,1,1,7,0,17,0,0.054,0.065
scarlet-mimic,Scarlet Mimic,complete,1,1,0,0,0,20,0,38,0,0.056,0.072
scattered-spider,Scattered Spider,complete,1,1,0,0,0,128,0,256,0,0.074,0.077
sea-turtle,Sea Turtle,complete,1,1,0,2,2,1,0,5,0,0.061,0.069
sectorj04,SectorJ04,complete,1,1,0,0,0,7,0,11,0,0.066,0.076
shamoon,Shamoon,complete,1,1,0,0,0,59,0,107,0,0.056,0.067
shark-spider,Shark Spider,complete,1,1,0,1,1,5,0,10,0,0.052,0.067
sharpshooter,Sharpshooter,complete,1,1,0,0,0,11,0,21,0,0.055,0.066
shifty-jackal,Shifty Jackal,complete,1,1,0,1,1,2,0,4,0,0.061,0.075
sidecopy,SideCopy,complete,4,4,0,371,480,73,0,821,0,0.164,0.095
sidewinder,Sidewinder,complete,3,3,0,183,203,171,0,557,0,0.112,0.098
silence,Silence,complete,1,1,0,0,0,34,0,60,0,0.091,0.068
silence-group,Silence Group,complete,1,1,0,0,0,5,0,6,0,0.059,0.069
silent-librarian,Silent Librarian,complete,1,1,0,0,0,25,0,45,0,0.056,0.07
silverterrier,SilverTerrier,complete,1,1,0,0,0,5,0,12,0,0.121,0.067
sima,Sima,complete,1,1,0,0,0,19,0,38,0,0.054,0.07
singing-spider,Singing Spider,complete,1,1,0,0,0,3,0,7,0,0.053,0.07
sixlittlemonkeys,SixLittleMonkeys,complete,1,1,0,0,0,17,0,25,0,0.054,0.068
slingshot,Slingshot,complete,1,1,0,0,0,21,0,43,0,0.057,0.069
snake-wine,Snake Wine,complete,1,1,0,0,0,16,0,33,0,0.055,0.069
snowglobe,Snowglobe,complete,1,1,0,0,0,19,0,37,0,0.053,0.07
sowbug,Sowbug,complete,1,1,0,0,0,17,0,35,0,0.06,0.066
sparkling-goblin,Sparkling Goblin,complete,1,1,0,0,0,1,0,3,0,0.059,0.08
spicy-panda,Spicy Panda,complete,1,1,0,0,0,3,0,6,0,0.057,0.073
spiral,Spiral,complete,1,1,0,0,0,6,0,12,0,0.054,0.067
spivy,SPIVY,complete,1,1,0,0,0,2,0,2,0,0.066,0.07
static-spider,Static Spider,complete,1,1,0,1,1,2,0,4,0,0.061,0.069
