slug,name,status,source_count,processed_source_count,ingestion_error_count,ioc_count,ioc_observation_count,artifact_count,validation_errors,validation_warnings,ingest_seconds,render_seconds,validate_seconds
tag-38,TAG-38,complete,1,1,0,0,0,4,0,9,0,0.055,0.064
tag-45,TAG-45,complete,1,1,0,2,2,4,0,11,0,0.054,0.065
tag-56,TAG-56,complete,1,1,0,4,4,1,0,7,0,0.06,0.094
tag-70,TAG-70,complete,1,1,0,0,0,1,0,3,0,0.051,0.066
tag-71,TAG-71,complete,1,1,0,0,0,0,0,1,0,0.052,0.067
tag-82,TAG-82,complete,1,1,0,4,4,3,0,11,0,0.052,0.065
tag-83,TAG-83,complete,1,1,0,7,7,2,0,12,0,0.052,0.065
taidoor,Taidoor,complete,1,1,0,0,0,15,0,31,0,0.053,0.066
taskmasters,Taskmasters,complete,1,1,0,0,0,11,0,17,0,0.054,0.071
teamspy-crew,TeamSpy Crew,complete,1,1,0,0,0,20,0,37,0,0.053,0.068
teamtnt,TeamTNT,complete,1,1,0,4,8,13,0,35,0,0.064,0.075
temp-veles,TEMP.Veles,complete,1,1,0,0,0,35,0,64,0,0.058,0.071
temp-zhenbao,TEMP.Zhenbao,complete,1,1,0,0,0,2,0,3,0,0.055,0.071
tempting-cedar,Tempting Cedar,complete,1,1,0,0,0,5,0,12,0,0.054,0.068
test-panda,Test Panda,complete,1,1,0,0,0,2,0,4,0,0.056,0.067
the-whois-hacking-team,The Whois Hacking Team,complete,1,1,0,0,0,2,0,5,0,0.056,0.07
threat-group-3390,Threat Group-3390,complete,1,1,0,0,0,73,0,143,0,0.071,0.072
tick,BRONZE BUTLER,complete,3,3,0,84,104,93,0,332,0,0.085,0.079
toddycat,ToddyCat,complete,1,1,0,1,1,15,0,32,0,0.064,0.07
tonto-team,Tonto Team,complete,1,1,0,0,0,45,0,89,0,0.086,0.088
tortoiseshell,Tortoiseshell,complete,1,1,0,2,2,0,0,6,0,0.064,0.069
toxic-panda,Toxic Panda,complete,1,1,0,0,0,6,0,12,0,0.058,0.073
tracer-kitten,Tracer KItten,complete,1,1,0,0,0,5,0,10,0,0.051,0.069
transparent-tribe,Transparent Tribe,complete,4,4,0,423,498,72,0,644,0,0.202,0.104
tropic-trooper,Tropic Trooper,complete,1,1,0,0,0,42,0,80,0,0.106,0.068
turla,Turla,complete,7,7,0,121,155,84,0,331,0,0.105,0.085
twisted-panda,Twisted Panda,complete,1,1,0,0,0,5,0,11,0,0.054,0.064
uac-0001,UAC-0001,complete,1,1,0,0,0,13,0,27,0,0.054,0.068
uac-0002,UAC-0002,complete,1,1,0,0,0,8,0,17,0,0.052,0.07
uac-0003,UAC-0003,complete,1,1,0,0,0,1,0,3,0,0.055,0.065
uac-0006,UAC-0006,complete,1,1,0,0,0,14,0,29,0,0.059,0.065
uac-0010,UAC-0010,complete,1,1,0,0,0,15,0,31,0,0.053,0.065
uac-0020,UAC-0020,complete,1,1,0,0,0,8,0,17,0,0.052,0.063
uac-0026,UAC-0026,complete,1,1,0,2,2,2,0,9,0,0.052,0.065
uac-0027,UAC-0027,complete,1,1,0,0,0,1,0,3,0,0.052,0.064
uac-0028,UAC-0028,complete,1,1,0,0,0,9,0,19,0,0.058,0.065
uac-0029,UAC-0029,complete,1,1,0,0,0,1,0,3,0,0.054,0.066
uac-0035,UAC-0035,complete,1,1,0,0,0,3,0,7,0,0.054,0.066
uac-0041,UAC-0041,complete,1,1,0,0,0,6,0,13,0,0.054,0.066
uac-0050,UAC-0050,complete,1,1,0,0,0,12,0,25,0,0.053,0.071
uac-0051,UAC-0051,complete,1,1,0,0,0,1,0,3,0,0.051,0.068
uac-0057,UAC-0057,complete,1,1,0,0,0,4,0,8,0,0.052,0.072
uac-0063,UAC-0063,complete,1,1,0,0,0,2,0,5,0,0.053,0.066
uac-0082,UAC-0082,complete,1,1,0,0,0,9,0,19,0,0.058,0.077
uac-0084,UAC-0084,complete,1,1,0,0,0,1,0,3,0,0.053,0.075
uac-0088,UAC-0088,complete,1,1,0,0,0,2,0,5,0,0.053,0.065
uac-0094,UAC-0094,complete,1,1,0,0,0,1,0,3,0,0.053,0.065
uac-0096,UAC-0096,complete,1,1,0,0,0,1,0,3,0,0.051,0.064
uac-0097,UAC-0097,complete,1,1,0,0,0,5,0,11,0,0.051,0.064
uac-0098,UAC-0098,complete,1,1,0,0,0,6,0,13,0,0.05,0.064
uac-0099,UAC-0099,complete,2,2,0,51,51,10,0,21,0,0.062,0.068
uac-0100,UAC-0100,complete,1,1,0,0,0,7,0,15,0,0.051,0.064
uac-0101,UAC-0101,complete,1,1,0,0,0,1,0,3,0,0.051,0.064
uac-0104,UAC-0104,complete,1,1,0,0,0,1,0,3,0,0.052,0.072
uac-0105,UAC-0105,complete,1,1,0,0,0,1,0,3,0,0.051,0.066
uac-0106,UAC-0106,complete,1,1,0,0,0,1,0,3,0,0.052,0.074
uac-0107,UAC-0107,complete,1,1,0,0,0,4,0,9,0,0.067,0.066
uac-0108,UAC-0108,complete,1,1,0,0,0,1,0,3,0,0.052,0.065
uac-0109,UAC-0109,complete,1,1,0,0,0,4,0,9,0,0.052,0.064
uac-0113,UAC-0113,complete,1,1,0,0,0,7,0,15,0,0.052,0.066
uac-0120,UAC-0120,complete,1,1,0,0,0,1,0,3,0,0.05,0.064
uac-0125,UAC-0125,complete,1,1,0,0,0,5,0,11,0,0.059,0.067
uac-0132,UAC-0132,complete,1,1,0,0,0,3,0,7,0,0.052,0.066
uac-0133,UAC-0133,complete,1,1,0,1,1,4,0,11,0,0.055,0.066
uac-0142,UAC-0142,complete,1,1,0,0,0,1,0,3,0,0.052,0.065
uac-0149,UAC-0149,complete,1,1,0,0,0,3,0,7,0,0.051,0.075
uac-0150,UAC-0150,complete,1,1,0,0,0,1,0,3,0,0.056,0.066
uac-0165,UAC-0165,complete,1,1,0,0,0,4,0,9,0,0.055,0.071
