slug,name,priority,priority_score,tracker_status,corpus_source_count,corpus_mention_count,unresolved_claim_count,partially_supported_claim_count,mitre_group_id,recommended_queries
unc3347,UNC3347,low,42,searched,2,6,2,0,,"[""\""UNC3347\"" threat actor official advisory"", ""\""UNC3347\"" attribution relationship malware"", ""\""UNC3347\"" contradiction disputed attribution""]"
unc5791,UNC5791,low,42,searched,2,6,2,0,,"[""\""UNC5791\"" threat actor official advisory"", ""\""UNC5791\"" attribution relationship malware"", ""\""UNC5791\"" contradiction disputed attribution""]"
dev-0166,DEV-0166,low,41,searched,2,5,2,0,,"[""\""DEV-0166\"" threat actor official advisory"", ""\""DEV-0166\"" attribution relationship malware"", ""\""DEV-0166\"" contradiction disputed attribution""]"
dev-0960,DEV-0960,low,41,searched,2,5,2,0,,"[""\""DEV-0960\"" threat actor official advisory"", ""\""DEV-0960\"" attribution relationship malware"", ""\""DEV-0960\"" contradiction disputed attribution""]"
uac-0097,UAC-0097,low,41,searched,2,5,2,0,,"[""\""UAC-0097\"" threat actor official advisory"", ""\""UAC-0097\"" attribution relationship malware"", ""\""UAC-0097\"" contradiction disputed attribution""]"
uac-0107,UAC-0107,low,40,searched,2,4,2,0,,"[""\""UAC-0107\"" threat actor official advisory"", ""\""UAC-0107\"" attribution relationship malware"", ""\""UAC-0107\"" contradiction disputed attribution""]"
uac-0165,UAC-0165,low,40,searched,2,4,2,0,,"[""\""UAC-0165\"" threat actor official advisory"", ""\""UAC-0165\"" attribution relationship malware"", ""\""UAC-0165\"" contradiction disputed attribution""]"
unc1758,UNC1758,low,40,searched,2,4,2,0,,"[""\""UNC1758\"" threat actor official advisory"", ""\""UNC1758\"" attribution relationship malware"", ""\""UNC1758\"" contradiction disputed attribution""]"
chinaz,ChinaZ,low,39,searched,1,5,2,4,,"[""\""ChinaZ\"" threat actor official advisory"", ""\""ChinaZ\"" attribution relationship malware"", ""\""ChinaZ\"" contradiction disputed attribution""]"
storm-0784,Storm-0784,low,39,searched,2,3,2,0,,"[""\""Storm-0784\"" threat actor official advisory"", ""\""Storm-0784\"" attribution relationship malware"", ""\""Storm-0784\"" contradiction disputed attribution""]"
unc3819,UNC3819,low,39,searched,2,3,2,0,,"[""\""UNC3819\"" threat actor official advisory"", ""\""UNC3819\"" attribution relationship malware"", ""\""UNC3819\"" contradiction disputed attribution""]"
unc4696,UNC4696,low,39,searched,2,3,2,0,,"[""\""UNC4696\"" threat actor official advisory"", ""\""UNC4696\"" attribution relationship malware"", ""\""UNC4696\"" contradiction disputed attribution""]"
unc6240,UNC6240,low,39,searched,2,3,2,0,,"[""\""UNC6240\"" threat actor official advisory"", ""\""UNC6240\"" attribution relationship malware"", ""\""UNC6240\"" contradiction disputed attribution""]"
dev-0588,DEV-0588,low,38,searched,2,2,2,0,,"[""\""DEV-0588\"" threat actor official advisory"", ""\""DEV-0588\"" attribution relationship malware"", ""\""DEV-0588\"" contradiction disputed attribution""]"
unc2652,UNC2652,low,38,searched,2,2,2,0,,"[""\""UNC2652\"" threat actor official advisory"", ""\""UNC2652\"" attribution relationship malware"", ""\""UNC2652\"" contradiction disputed attribution""]"
greyenergy-group,GreyEnergy Group,low,33,searched,1,1,2,3,,"[""\""GreyEnergy Group\"" threat actor official advisory"", ""\""GreyEnergy Group\"" attribution relationship malware"", ""\""GreyEnergy Group\"" contradiction disputed attribution""]"
acidbox,AcidBox,low,32,searched,1,4,2,1,,"[""\""AcidBox\"" threat actor official advisory"", ""\""AcidBox\"" attribution relationship malware"", ""\""AcidBox\"" contradiction disputed attribution""]"
electric-powder,Electric Powder,low,32,searched,1,2,2,2,,"[""\""Electric Powder\"" threat actor official advisory"", ""\""Electric Powder\"" attribution relationship malware"", ""\""Electric Powder\"" contradiction disputed attribution""]"
fullofdeep,FullofDeep,low,32,searched,1,2,2,2,,"[""\""FullofDeep\"" threat actor official advisory"", ""\""FullofDeep\"" attribution relationship malware"", ""\""FullofDeep\"" contradiction disputed attribution""]"
gravityrat,GravityRAT,low,31,searched,1,3,2,1,,"[""\""GravityRAT\"" threat actor official advisory"", ""\""GravityRAT\"" attribution relationship malware"", ""\""GravityRAT\"" contradiction disputed attribution""]"
gru-gtsst-main-center-for-special-technology,GRU GTsST (Main Center for Special Technology),low,31,searched,1,1,2,2,,"[""\""GRU GTsST (Main Center for Special Technology)\"" threat actor official advisory"", ""\""GRU GTsST (Main Center for Special Technology)\"" attribution relationship malware"", ""\""GRU GTsST (Main Center for Special Technology)\"" contradiction disputed attribution""]"
unc1130,UNC1130,low,31,searched,1,5,2,0,,"[""\""UNC1130\"" threat actor official advisory"", ""\""UNC1130\"" attribution relationship malware"", ""\""UNC1130\"" contradiction disputed attribution""]"
unc2500,UNC2500,low,31,searched,1,5,2,0,,"[""\""UNC2500\"" threat actor official advisory"", ""\""UNC2500\"" attribution relationship malware"", ""\""UNC2500\"" contradiction disputed attribution""]"
unc3810,UNC3810,low,31,searched,1,5,2,0,,"[""\""UNC3810\"" threat actor official advisory"", ""\""UNC3810\"" attribution relationship malware"", ""\""UNC3810\"" contradiction disputed attribution""]"
unc3840,UNC3840,low,31,searched,1,5,2,0,,"[""\""UNC3840\"" threat actor official advisory"", ""\""UNC3840\"" attribution relationship malware"", ""\""UNC3840\"" contradiction disputed attribution""]"
unc5227,UNC5227,low,31,searched,1,5,2,0,,"[""\""UNC5227\"" threat actor official advisory"", ""\""UNC5227\"" attribution relationship malware"", ""\""UNC5227\"" contradiction disputed attribution""]"
unc5280,UNC5280,low,31,searched,1,5,2,0,,"[""\""UNC5280\"" threat actor official advisory"", ""\""UNC5280\"" attribution relationship malware"", ""\""UNC5280\"" contradiction disputed attribution""]"
unc6661,UNC6661,low,31,searched,1,5,2,0,,"[""\""UNC6661\"" threat actor official advisory"", ""\""UNC6661\"" attribution relationship malware"", ""\""UNC6661\"" contradiction disputed attribution""]"
spivy,SPIVY,low,30,searched,1,2,2,1,,"[""\""SPIVY\"" threat actor official advisory"", ""\""SPIVY\"" attribution relationship malware"", ""\""SPIVY\"" contradiction disputed attribution""]"
ta545,TA545,low,30,searched,1,2,2,1,,"[""\""TA545\"" threat actor official advisory"", ""\""TA545\"" attribution relationship malware"", ""\""TA545\"" contradiction disputed attribution""]"
ta564,TA564,low,30,searched,1,2,2,1,,"[""\""TA564\"" threat actor official advisory"", ""\""TA564\"" attribution relationship malware"", ""\""TA564\"" contradiction disputed attribution""]"
tag-45,TAG-45,low,30,searched,1,4,2,0,,"[""\""TAG-45\"" threat actor official advisory"", ""\""TAG-45\"" attribution relationship malware"", ""\""TAG-45\"" contradiction disputed attribution""]"
unc2062,UNC2062,low,30,searched,1,4,2,0,,"[""\""UNC2062\"" threat actor official advisory"", ""\""UNC2062\"" attribution relationship malware"", ""\""UNC2062\"" contradiction disputed attribution""]"
unc5277,UNC5277,low,30,searched,1,4,2,0,,"[""\""UNC5277\"" threat actor official advisory"", ""\""UNC5277\"" attribution relationship malware"", ""\""UNC5277\"" contradiction disputed attribution""]"
carberb,Carberb,low,29,searched,1,1,2,1,,"[""\""Carberb\"" threat actor official advisory"", ""\""Carberb\"" attribution relationship malware"", ""\""Carberb\"" contradiction disputed attribution""]"
cyber-spetsnazs,Cyber Spetsnazs,low,29,searched,1,1,2,1,,"[""\""Cyber Spetsnazs\"" threat actor official advisory"", ""\""Cyber Spetsnazs\"" attribution relationship malware"", ""\""Cyber Spetsnazs\"" contradiction disputed attribution""]"
