slug,name,priority,priority_score,tracker_status,corpus_source_count,corpus_mention_count,unresolved_claim_count,partially_supported_claim_count,mitre_group_id,recommended_queries
uac-0120,UAC-0120,low,27,searched,1,1,2,0,,"[""\""UAC-0120\"" threat actor official advisory"", ""\""UAC-0120\"" attribution relationship malware"", ""\""UAC-0120\"" contradiction disputed attribution""]"
uac-0142,UAC-0142,low,27,searched,1,1,2,0,,"[""\""UAC-0142\"" threat actor official advisory"", ""\""UAC-0142\"" attribution relationship malware"", ""\""UAC-0142\"" contradiction disputed attribution""]"
uac-0150,UAC-0150,low,27,searched,1,1,2,0,,"[""\""UAC-0150\"" threat actor official advisory"", ""\""UAC-0150\"" attribution relationship malware"", ""\""UAC-0150\"" contradiction disputed attribution""]"
uac-0188,UAC-0188,low,27,searched,1,1,2,0,,"[""\""UAC-0188\"" threat actor official advisory"", ""\""UAC-0188\"" attribution relationship malware"", ""\""UAC-0188\"" contradiction disputed attribution""]"
uac-0210,UAC-0210,low,27,searched,1,1,2,0,,"[""\""UAC-0210\"" threat actor official advisory"", ""\""UAC-0210\"" attribution relationship malware"", ""\""UAC-0210\"" contradiction disputed attribution""]"
unc1066,UNC1066,low,27,searched,1,1,2,0,,"[""\""UNC1066\"" threat actor official advisory"", ""\""UNC1066\"" attribution relationship malware"", ""\""UNC1066\"" contradiction disputed attribution""]"
unc1115,UNC1115,low,27,searched,1,1,2,0,,"[""\""UNC1115\"" threat actor official advisory"", ""\""UNC1115\"" attribution relationship malware"", ""\""UNC1115\"" contradiction disputed attribution""]"
unc1873,UNC1873,low,27,searched,1,1,2,0,,"[""\""UNC1873\"" threat actor official advisory"", ""\""UNC1873\"" attribution relationship malware"", ""\""UNC1873\"" contradiction disputed attribution""]"
unc2639,UNC2639,low,27,searched,1,1,2,0,,"[""\""UNC2639\"" threat actor official advisory"", ""\""UNC2639\"" attribution relationship malware"", ""\""UNC2639\"" contradiction disputed attribution""]"
unc2640,UNC2640,low,27,searched,1,1,2,0,,"[""\""UNC2640\"" threat actor official advisory"", ""\""UNC2640\"" attribution relationship malware"", ""\""UNC2640\"" contradiction disputed attribution""]"
unc2643,UNC2643,low,27,searched,1,1,2,0,,"[""\""UNC2643\"" threat actor official advisory"", ""\""UNC2643\"" attribution relationship malware"", ""\""UNC2643\"" contradiction disputed attribution""]"
unc2727,UNC2727,low,27,searched,1,1,2,0,,"[""\""UNC2727\"" threat actor official advisory"", ""\""UNC2727\"" attribution relationship malware"", ""\""UNC2727\"" contradiction disputed attribution""]"
unc3319,UNC3319,low,27,searched,1,1,2,0,,"[""\""UNC3319\"" threat actor official advisory"", ""\""UNC3319\"" attribution relationship malware"", ""\""UNC3319\"" contradiction disputed attribution""]"
unc3622,UNC3622,low,27,searched,1,1,2,0,,"[""\""UNC3622\"" threat actor official advisory"", ""\""UNC3622\"" attribution relationship malware"", ""\""UNC3622\"" contradiction disputed attribution""]"
unc3753,UNC3753,low,27,searched,1,1,2,0,,"[""\""UNC3753\"" threat actor official advisory"", ""\""UNC3753\"" attribution relationship malware"", ""\""UNC3753\"" contradiction disputed attribution""]"
unc3905,UNC3905,low,27,searched,1,1,2,0,,"[""\""UNC3905\"" threat actor official advisory"", ""\""UNC3905\"" attribution relationship malware"", ""\""UNC3905\"" contradiction disputed attribution""]"
unc394,UNC394,low,27,searched,1,1,2,0,,"[""\""UNC394\"" threat actor official advisory"", ""\""UNC394\"" attribution relationship malware"", ""\""UNC394\"" contradiction disputed attribution""]"
unc4713,UNC4713,low,27,searched,1,1,2,0,,"[""\""UNC4713\"" threat actor official advisory"", ""\""UNC4713\"" attribution relationship malware"", ""\""UNC4713\"" contradiction disputed attribution""]"
unc4857,UNC4857,low,27,searched,1,1,2,0,,"[""\""UNC4857\"" threat actor official advisory"", ""\""UNC4857\"" attribution relationship malware"", ""\""UNC4857\"" contradiction disputed attribution""]"
unc4962,UNC4962,low,27,searched,1,1,2,0,,"[""\""UNC4962\"" threat actor official advisory"", ""\""UNC4962\"" attribution relationship malware"", ""\""UNC4962\"" contradiction disputed attribution""]"
unc5051,UNC5051,low,27,searched,1,1,2,0,,"[""\""UNC5051\"" threat actor official advisory"", ""\""UNC5051\"" attribution relationship malware"", ""\""UNC5051\"" contradiction disputed attribution""]"
unc5103,UNC5103,low,27,searched,1,1,2,0,,"[""\""UNC5103\"" threat actor official advisory"", ""\""UNC5103\"" attribution relationship malware"", ""\""UNC5103\"" contradiction disputed attribution""]"
unc5203,UNC5203,low,27,searched,1,1,2,0,,"[""\""UNC5203\"" threat actor official advisory"", ""\""UNC5203\"" attribution relationship malware"", ""\""UNC5203\"" contradiction disputed attribution""]"
unc553,UNC553,low,27,searched,1,1,2,0,,"[""\""UNC553\"" threat actor official advisory"", ""\""UNC553\"" attribution relationship malware"", ""\""UNC553\"" contradiction disputed attribution""]"
unc5606,UNC5606,low,27,searched,1,1,2,0,,"[""\""UNC5606\"" threat actor official advisory"", ""\""UNC5606\"" attribution relationship malware"", ""\""UNC5606\"" contradiction disputed attribution""]"
unc5691,UNC5691,low,27,searched,1,1,2,0,,"[""\""UNC5691\"" threat actor official advisory"", ""\""UNC5691\"" attribution relationship malware"", ""\""UNC5691\"" contradiction disputed attribution""]"
unc5812,UNC5812,low,27,searched,1,1,2,0,,"[""\""UNC5812\"" threat actor official advisory"", ""\""UNC5812\"" attribution relationship malware"", ""\""UNC5812\"" contradiction disputed attribution""]"
unc5923,UNC5923,low,27,searched,1,1,2,0,,"[""\""UNC5923\"" threat actor official advisory"", ""\""UNC5923\"" attribution relationship malware"", ""\""UNC5923\"" contradiction disputed attribution""]"
unc638,UNC638,low,27,searched,1,1,2,0,,"[""\""UNC638\"" threat actor official advisory"", ""\""UNC638\"" attribution relationship malware"", ""\""UNC638\"" contradiction disputed attribution""]"
unc718,UnC718,low,27,searched,1,1,2,0,,"[""\""UnC718\"" threat actor official advisory"", ""\""UnC718\"" attribution relationship malware"", ""\""UnC718\"" contradiction disputed attribution""]"
unc785,UNC785,low,27,searched,1,1,2,0,,"[""\""UNC785\"" threat actor official advisory"", ""\""UNC785\"" attribution relationship malware"", ""\""UNC785\"" contradiction disputed attribution""]"
wold-spider,Wold Spider,low,27,searched,1,1,2,0,,"[""\""Wold Spider\"" threat actor official advisory"", ""\""Wold Spider\"" attribution relationship malware"", ""\""Wold Spider\"" contradiction disputed attribution""]"
