schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--storm-0501,artifact--sha256:e72873119e66f69b0bd4367d7516889e98b1a716f8eb70d6410ff5f40bb54c12,observation--sha256:a28635e00e61961a381bfac74581ac85db96ebf7c3d1d8002302f0ce3c16b9f8,file-name,2024.pdf,2024.pdf,candidate,,unknown,unknown,not-stated,,source--storm-0501--9dca41b1465ff529,actor_profile/evidence/storm-0501.csv,"{""row"": 2}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2024/Microsoft Digital Defense Report 2024.pdf {""page"": 48} Storm-0501 In the past, cloud identity compromise was thought to be reserved for only a handful of advanced, perhaps exclusively state-sponsored, actors. However, financially motivated actors like Octo Tempest, Storm-0539, and Storm-0501 have recently shown sophisticated competency in the cloud across a large variety of industry verticals, indicating that more and more threat actors will be able to use this technique. Links Insi",
1.0.0,actor--storm-0501,artifact--sha256:e72873119e66f69b0bd4367d7516889e98b1a716f8eb70d6410ff5f40bb54c12,observation--sha256:982db16923a76389681b2627132a6445b87e15eb71130c62b219ca1fe83ccf51,file-name,2024.pdf,2024.pdf,candidate,,unknown,unknown,not-stated,,source--storm-0501--9dca41b1465ff529,actor_profile/evidence/storm-0501.csv,"{""row"": 3}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2024/Microsoft Digital Defense Report 2024.pdf {""page"": 48} Storm-0501 federated identity providers using tools like AADInternals to federate domains. The actor then used the newly federated identity provider to sign in as a valid user. Similarly, in March 2024, ransomware threat actor Storm-0501 attacked Azure environments using the AADInternals tool to federate attacker-owned domains within compromised tenants, using the newly federated identity provider to sign into additional valid a",
1.0.0,actor--storm-0501,artifact--sha256:615e53893b704a134aca2b75f3ebd699fdc3df95380970f45721dd964834010e,observation--sha256:b5565cb612b01fe13d4df91b8a7c73df14ea7ccd3eb7711d84d3cbfb6b2bc2fc,file-name,2026_safebreach_state_of_the_breach_report_final-1.pdf,2026_safebreach_state_of_the_breach_report_final-1.pdf,candidate,,unknown,unknown,not-stated,,source--storm-0501--9dca41b1465ff529,actor_profile/evidence/storm-0501.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2026/2026_safebreach_state_of_the_breach_report_final-1.pdf {""page"": 22} Storm-0501 nerable than cloud-forward sectors? p Are cloud, container, and SaaS attack paths being validated regularly, or are they still untested blind spots? p Would we detect or block modern stealth techniques (GRU tradecraft, Storm-0501, AiTM, OAuth hijacking), or would they slip past our controls?",
1.0.0,actor--storm-0501,artifact--sha256:9e4165327c54d9962d7aeafd5b317c341fcca30090ff2771a89c68ac866c4f33,observation--sha256:0fcb397b8956b1ce105ad90cef915cf7499f69ff82173b432f3684bb9cd1dbab,file-name,Cloud_Security_Risk_Report_2025.pdf,Cloud_Security_Risk_Report_2025.pdf,candidate,,unknown,unknown,not-stated,,source--storm-0501--9dca41b1465ff529,actor_profile/evidence/storm-0501.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2026/Cloud_Security_Risk_Report_2025.pdf {""page"": 14} Storm-0501 14 SENTINELONE CLOUD SECURITY RISK REPORT 2025 Pivoting to Cloud in the Mid or Late Stage of an Attack Last year’s uncovering of long-term and complex compromise of Microsoft by the threat actor Storm-0501 involved several fascinating tactics and techniques that allowed them to perform enhanced discovery, lateral movement, and persistence, all while staying under the radar. A hallmark of their campaign was leveraging s",
1.0.0,actor--storm-0501,artifact--sha256:03f1992b725cf55cd5e33041669e667d19585534d416bc793f32ad28205cc93e,observation--sha256:6a45ac693011b8bd5061f098745d9f720406931f5f47e10acc8ca778dfc9b54b,file-name,Report_Final.pdf,Report_Final.pdf,candidate,,unknown,unknown,not-stated,,source--storm-0501--9dca41b1465ff529,actor_profile/evidence/storm-0501.csv,"{""row"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/2025 Cyber Security Report_Final.pdf {""page"": 26} Storm-0501 ey can pivot to cloud environments through several pathways like Azure AD Connect servers (via Microsoft Entra Connect Sync user) or hybrid user accounts. For example, in 2024, the financially motivated threat actor Storm-0501 launched multi-stage attacks that compromised hybrid cloud environments, performed lateral movement from on-premises to the cloud, and deployed backdoor accounts before ultimately launching ransomwar",
1.0.0,actor--storm-0501,artifact--sha256:03f1992b725cf55cd5e33041669e667d19585534d416bc793f32ad28205cc93e,observation--sha256:227e231faa52635d9c9f98f5567bcfe019096e539cfb38ae63bf91a6ff8ea58b,file-name,Report_Final.pdf,Report_Final.pdf,candidate,,unknown,unknown,not-stated,,source--storm-0501--9dca41b1465ff529,actor_profile/evidence/storm-0501.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2026/2025 Cyber Security Report_Final.pdf {""page"": 26} Storm-0501 ey can pivot to cloud environments through several pathways like Azure AD Connect servers (via Microsoft Entra Connect Sync user) or hybrid user accounts. For example, in 2024, the financially motivated threat actor Storm-0501 launched multi-stage attacks that compromised hybrid cloud environments, performed lateral movement from on-premises to the cloud, and deployed backdoor accounts before ultimately launching ransomwar",
1.0.0,actor--storm-0501,artifact--sha256:b67143c0d2703f264eed9f2c560518b03b36b341e5a39ac89b048b5d2b1016b5,observation--sha256:24577db1c1b2c02c73854d9014ff03b753ed3c4e18b8832b780ac6074d375a6a,file-name,Report_QAX.pdf,Report_QAX.pdf,candidate,2024-09-26T00:00:00Z,day,known,same-record,,source--storm-0501--9dca41b1465ff529,actor_profile/evidence/storm-0501.csv,"{""row"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/Cybersecurity Threats 2024 Annual Report_QAX.pdf {""page"": 112} storm-0501 144]https://www.sentinelone.com/labs/kryptina-raas-from-unsellable-cast-off-to-enterprise- ransomware/ [145]https://mp.weixin.qq.com/s/dWtLGGdEPBhqX11qQ4j1IQ [146]https://www.microsoft.com/en-us/security/blog/2024/09/26/storm-0501-ransomware- attacks-expanding-to-hybrid-cloud-environments/ [147]https://blog.talosintelligence.com/threat-actor-believed-to-be-spreading-new-medusalocker- variant-since-2022/ [148]h",
1.0.0,actor--storm-0501,artifact--sha256:b67143c0d2703f264eed9f2c560518b03b36b341e5a39ac89b048b5d2b1016b5,observation--sha256:d77fd357e12a07151a6c0812d5725721e70c52935377bb3c471e98ff1d3c142a,file-name,Report_QAX.pdf,Report_QAX.pdf,candidate,,unknown,unknown,not-stated,,source--storm-0501--9dca41b1465ff529,actor_profile/evidence/storm-0501.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/Cybersecurity Threats 2024 Annual Report_QAX.pdf {""page"": 70} Storm-0501 [142] modePUSH BianLian、Rhysida 勒 索组织 / / Twelve 组织对俄罗斯实施破坏 性网络攻击 [143] Kaspersky LockBit 3.0 勒索软件 俄罗斯 政府机构 Kryptina 勒索软件分析 [144] SentinelOne Kryptina 勒索软件 / / 针对国内政企的勒索软件运营 商 Rast gang[145] 奇安信 Rast gang 勒索组织 中国 政府、企业 Storm-0501 勒索软件攻击扩 展到混合云环境 [146] Microsoft Embargo 勒索软件 美国 政府、制造业、交通运输 等行业 攻击者部署新的 MedusaLocker 勒索软件变种 [147] Cisco Talos MedusaLocker 勒索软件变种 （BabyLockerKZ） 法国、德国、西班 牙或意大利等欧洲 国家， 巴西、 墨西哥、 阿根廷和哥伦比亚",
1.0.0,actor--storm-0501,artifact--sha256:9548e51f6b43c63dcf12355bf3d8c305822979ff369365c0a71ecf9b57f58c25,observation--sha256:959f3dbd02c2cb460d3c90754ef35037367cf8f2cabc8fec6ee37005c9c1aad0,file-name,threat_horizons_report_h1_2025.pdf,threat_horizons_report_h1_2025.pdf,candidate,,unknown,unknown,not-stated,,source--storm-0501--9dca41b1465ff529,actor_profile/evidence/storm-0501.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/threat_horizons_report_h1_2025.pdf {""page"": 24} Storm-0501 on released. Due to the nature of the attack and the use of the information from the DLS, this article provides a closer look at a threat actor tactics, which were used to compromise cloud environments. For example, Storm-0501, a threat actor group that is publicly tracked and has possible links to the EMBARGO Ransomware-as-a-Service (RaaS) group, gained initial access to a cloud-based identity provider, deployed ransomware,",
1.0.0,actor--storm-0501,artifact--sha256:9548e51f6b43c63dcf12355bf3d8c305822979ff369365c0a71ecf9b57f58c25,observation--sha256:5b9854131dfd0aa7dbc49625de7116f209752f5b87a8dfdb0745b6f7bf0478ae,file-name,threat_horizons_report_h1_2025.pdf,threat_horizons_report_h1_2025.pdf,candidate,,unknown,unknown,not-stated,,source--storm-0501--9dca41b1465ff529,actor_profile/evidence/storm-0501.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/threat_horizons_report_h1_2025.pdf {""page"": 24} Storm-0501 d and has possible links to the EMBARGO Ransomware-as-a-Service (RaaS) group, gained initial access to a cloud-based identity provider, deployed ransomware, and amplified their accomplishments on their DLS. Notably, Storm-0501 actively develops and customizes their tools for each victim. Since April 2024, Mandiant has observed 11 different postings to the EMBARGO DLS, which includes the following activity: • Data Exfiltratio",
