actor_id,canonical_name,mitre_group_id,is_profiled,catalog_slugs,mention_source_count,mention_count,aliases
actor-census--sha256:d8131472b75542d004865f1572159236b51a1590883f69e1ae950de8eb72fb3f,APT26,,false,[],7,25,"[""APT26"", ""Hippo Team"", ""JerseyMikes"", ""Turbine Panda""]"
actor-census--sha256:329ec2568973f39f7dfa2ee0d60e230cc69b3fe8cf216620ae47ce9f72ae3e22,APT2822,,false,[],1,1,"[""APT2822""]"
actor-census--sha256:95e600f5a69d9bd6e9995caa7948d9ae5d59cb3adb31f292eac107db6fa7927f,APT2832,,false,[],1,1,"[""APT2832""]"
actor-census--sha256:5ed3cdff5bc5079e2869739b9a1f451bf7d57dc71e5454999c368882f422a2be,APT288,,false,[],1,1,"[""APT288""]"
actor-census--sha256:40401a1e032c2831e7757037ddb3597a644936d95bc0f33548e73f5a34aa4202,APT292,,false,[],1,1,"[""APT292""]"
actor-census--sha256:372cb597fc6f5eed131500dff156ab255a5d72f449b6132870549de1bb2c6c59,APT2933,,false,[],1,1,"[""APT2933""]"
actor-census--mitre:G0013,APT30,G0013,false,[],6,19,"[""APT30""]"
actor-census--mitre:G0064,APT33,G0064,false,[],29,96,"[""APT33"", ""Elfin"", ""HOLMIUM"", ""Peach Sandstorm""]"
actor-census--sha256:db50978b31e2899baf37ecaf9d4a2ae7bb83ed625fe2a389487570fd1c7e552b,APT3704,,false,[],1,1,"[""APT3704""]"
actor-census--sha256:7496264892b0c696d0d3d8587b99932acc24ae74efdb87aa4c71de05c75559a2,APT3710,,false,[],1,1,"[""APT3710""]"
actor-census--sha256:ea720c932029f4cf35463cf9474b66f406a291335fd401a57a84a6f8dd18af5e,APT3718,,false,[],1,1,"[""APT3718""]"
