value,type,artifact_type,observed_at,campaign_refs,malware_refs,infrastructure_refs,roles
eu-central-1.s3-be.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-central-1.s3-esa.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-central-1.s3-nato.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-central-1.ua-gov.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-central-1.ua-sec.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-central-1.ukrtelecom.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-central-2-aws.amazonsolutions.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-central-2-aws.aws-ukraine.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-central-2-aws.dep-no.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-central-2-aws.gov-pl.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-central-2-aws.gov-sk.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-central-2-aws.mil-be.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-central-2-aws.mil-pl.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-central-2-aws.mindef-nl.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-central-2-aws.msz-pl.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
