value,type,artifact_type,observed_at,campaign_refs,malware_refs,infrastructure_refs,roles
eu-west-1-aws.minbuza.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-1-aws.quirinale.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-1-aws.s3-be.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-1-aws.s3-de.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-1-aws.s3-esa.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-1-aws.s3-nato.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-1-aws.ua-sec.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-1-aws.ukrainesec.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-1.aws-ukraine.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-1.difesa-it.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-1.gov-sk.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-1.mil-be.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-1.mil-pl.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-1.minbuza.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-1.msz-pl.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-1.mzv-sk.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-1.regeringskansliet-se.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-1.s3-de.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-1.s3-esa.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-1.s3-ua.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-1.ua-gov.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-1.ukrtelecom.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-2-aws.amazonsolutions.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-2-aws.dep-no.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-2-aws.difesa-it.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-2-aws.gov-pl.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-2-aws.gov-sk.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-2-aws.gv-at.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-2-aws.mil-be.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-2-aws.mil-pl.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-2-aws.minbuza.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-2-aws.mindef-nl.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-2-aws.msz-pl.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-2-aws.mzv-sk.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-2-aws.quirinale.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-2-aws.s3-be.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-2-aws.s3-de.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-2-aws.s3-esa.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-2-aws.s3-nato.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-2-aws.s3-ua.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-2-aws.ua-sec.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-3-aws.aws-ukraine.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-3-aws.dep-no.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-3-aws.difesa-it.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-3-aws.gov-pl.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-3-aws.gov-sk.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-3-aws.gov-trust.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-3-aws.mil-be.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-3-aws.mil-pl.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-3-aws.mil-pt.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-3-aws.minbuza.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-3-aws.mindef-nl.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-3-aws.msz-pl.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-3-aws.mzv-sk.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-3-aws.quirinale.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-3-aws.regeringskansliet-se.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-3-aws.s3-be.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-3-aws.s3-ua.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-3-aws.ua-mil.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-3.amazonsolutions.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-3.aws-ukraine.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-3.mil-be.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-3.mil-pl.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-3.minbuza.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-3.mindef-nl.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-3.msz-pl.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-3.mzv-sk.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-3.presidencia-pt.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-3.s3-be.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-3.s3-ua.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-3.ukrainesec.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-west-3.ukrtelecom.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
us-east-1-aws.mfa-gov.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
us-east-1-aws.s3-ua.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
us-east-1-aws.ua-gov.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
us-east-1-aws.ua-sec.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
us-east-2-aws.gov-ua.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
us-east-2-aws.ua-gov.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
us-east-2-aws.ukrtelecom.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
us-east-2.aws-ukraine.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
us-east-2.gov-ua.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
us-east-2.ua-sec.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
us-east-2.ukrainesec.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
us-east-console.aws-ukraine.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
us-east-console.ua-energy.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
us-west-1-amazon.ua-energy.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
us-west-1-amazon.ua-mil.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
us-west-1-amazon.ua-sec.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
us-west-1-aws.gov-ua.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
us-west-1.aws-ukraine.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
us-west-1.ua-energy.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
us-west-1.ua-gov.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
us-west-1.ukrtelecom.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
us-west-2-aws.mfa-gov.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
us-west-2-aws.s3-ua.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
us-west-2-aws.ua-energy.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
us-west-2.gov-ua.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
us-west-2.ua-energy.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
us-west-2.ua-sec.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
AWS IAM Compliance Check.rdp,,file-name,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,phishing-attachment
AWS IAM Configuration.rdp,,file-name,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,phishing-attachment
AWS IAM Quick Start.rdp,,file-name,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,phishing-attachment
AWS SDE Compliance Check.rdp,,file-name,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,phishing-attachment
AWS SDE Environment Check.rdp,,file-name,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,phishing-attachment
AWS Secure Data Exchange Compliance.rdp,,file-name,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,phishing-attachment
AWS Secure Data Exchange – Compliance Check.rdp,,file-name,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,phishing-attachment
Device Configuration Verification.rdp,,file-name,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,phishing-attachment
Device Security Requirements Check.rdp,,file-name,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,phishing-attachment
IAM Identity Center Access.rdp,,file-name,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,phishing-attachment
IAM Identity Center Application Access.rdp,,file-name,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,phishing-attachment
ZTS Device Compatibility Test.rdp,,file-name,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,phishing-attachment
Zero Trust Architecture Configuration.rdp,,file-name,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,phishing-attachment
Zero Trust Security Environment Compliance Check.rdp,,file-name,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,phishing-attachment
